"filename", "language", "YAML", "Swift", "JSON", "HTML", "Dart", "XML", "Properties", "Groovy", "C++", "Markdown", "comment", "blank", "total"
"/home/kilian/gymprime-project/gymprime/linux/my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 11, 20, 105
"/home/kilian/gymprime-project/gymprime/linux/my_application.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, 5, 19
"/home/kilian/gymprime-project/gymprime/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 19
"/home/kilian/gymprime-project/gymprime/macos/Runner/AppDelegate.swift", "Swift", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/kilian/gymprime-project/gymprime/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"/home/kilian/gymprime-project/gymprime/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"/home/kilian/gymprime-project/gymprime/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/home/kilian/gymprime-project/gymprime/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"/home/kilian/gymprime-project/gymprime/pubspec.yaml", "YAML", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 15, 109
"/home/kilian/gymprime-project/gymprime/web/index.html", "HTML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 16, 6, 60
"/home/kilian/gymprime-project/gymprime/web/manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/home/kilian/gymprime-project/gymprime/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 5, 12
"/home/kilian/gymprime-project/gymprime/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 6, 16
"/home/kilian/gymprime-project/gymprime/windows/runner/flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 7, 16, 72
"/home/kilian/gymprime-project/gymprime/windows/runner/flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 5, 9, 34
"/home/kilian/gymprime-project/gymprime/windows/runner/main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 4, 10, 44
"/home/kilian/gymprime-project/gymprime/windows/runner/resource.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 6, 2, 17
"/home/kilian/gymprime-project/gymprime/windows/runner/utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 2, 10, 66
"/home/kilian/gymprime-project/gymprime/windows/runner/utils.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 6, 6, 20
"/home/kilian/gymprime-project/gymprime/windows/runner/win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 24, 55, 289
"/home/kilian/gymprime-project/gymprime/windows/runner/win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 31, 24, 103
"Total", "-", 37, 58, 248, 38, 2838, 463, 8, 114, 531, 13, 298, 786, 5432
